010,Viridian Forest,Common
011,Viridian Forest,Common
013,Viridian Forest,Common
014,Viridian Forest,Common
016,Viridian Forest,Uncommon
025,Viridian Forest,Rare
017,Viridian Forest,Rare
010,Route 24,Common
013,Route 24,Common
043,Route 24,Common
069,Route 24,Common
016,Route 24,Common
011,Route 24,Uncommon
014,Route 24,Uncommon
063,Route 24,Uncommon
048,Route 24,Uncommon
017,Route 24,Rare
054,Route 24,Common
098,Route 24,Common
118,Route 24,Common
119,Route 24,Common
060,Route 24,Common
129,Route 24,Common
004,Route 24,Common
016,Route 6,Common
043,Route 6,Common
052,Route 6,Common
056,Route 6,Common
069,Route 6,Common
019,Route 6,Common
039,Route 6,Uncommon
063,Route 6,Uncommon
017,Route 6,Rare
054,Route 6,Common
055,Route 6,Rare
090,Route 6,Common
098,Route 6,Common
118,Route 6,Common
060,Route 6,Common
129,Route 6,Common
016,Route 12,Common
043,Route 12,Common
069,Route 12,Common
048,Route 12,Uncommon
017,Route 12,Uncommon
044,Route 12,Rare
070,Route 12,Rare
083,Route 12,Rare
079,Route 12,Common
080,Route 12,Rare
072,Route 12,Common
098,Route 12,Common
118,Route 12,Common
129,Route 12,Common
116,Route 12,Common
117,Route 12,Common
060,Route 12,Common
143,Route 12,Limited
025,Power Plant,Common
081,Power Plant,Common
100,Power Plant,Common
082,Power Plant,Uncommon
088,Power Plant,Uncommon
026,Power Plant,Rare
125,Power Plant,Rare
089,Power Plant,Rare
145,Power Plant,Limited
092,Pokemon Tower,Common
104,Pokemon Tower,Uncommon
093,Pokemon Tower,Rare
098,Fuchsia City,Common
118,Fuchsia City,Common
119,Fuchsia City,Common
129,Fuchsia City,Common
130,Fuchsia City,Uncommon
060,Fuchsia City,Common
138,Cinnabar Island,Limited
140,Cinnabar Island,Limited
142,Cinnabar Island,Limited
086,Cinnabar Island,Limited
101,Cinnabar Island,Limited
114,Cinnabar Island,Limited
087,Cinnabar Island,Limited
089,Cinnabar Island,Limited
112,Cinnabar Island,Limited
016,Route 13,Common
043,Route 13,Common
069,Route 13,Common
048,Route 13,Uncommon
017,Route 13,Uncommon
044,Route 13,Rare
070,Route 13,Rare
132,Route 13,Rare
083,Route 13,Rare
079,Route 13,Common
080,Route 13,Rare
072,Route 13,Common
098,Route 13,Common
118,Route 13,Common
129,Route 13,Common
116,Route 13,Common
117,Route 13,Uncommon
060,Route 13,Common
016,Route 7,Common
043,Route 7,Common
052,Route 7,Common
056,Route 7,Common
069,Route 7,Common
063,Route 7,Common
037,Route 7,Uncommon
058,Route 7,Uncommon
017,Route 7,Uncommon
019,Route 7,Uncommon
039,Route 7,Uncommon
010,Route 25,Common
013,Route 25,Common
043,Route 25,Common
069,Route 25,Common
016,Route 25,Common
011,Route 25,Uncommon
014,Route 25,Uncommon
063,Route 25,Uncommon
048,Route 25,Uncommon
017,Route 25,Rare
054,Route 25,Common
098,Route 25,Common
099,Route 25,Common
060,Route 25,Common
118,Route 25,Common
129,Route 25,Common
077,Pokemon Mansion,Common
088,Pokemon Mansion,Common
109,Pokemon Mansion,Common
019,Pokemon Mansion,Common
020,Pokemon Mansion,Common
037,Pokemon Mansion,Uncommon
058,Pokemon Mansion,Uncommon
089,Pokemon Mansion,Rare
110,Pokemon Mansion,Rare
126,Pokemon Mansion,Rare
132,Pokemon Mansion,Uncommon
041,Rock Tunnel,Common
074,Rock Tunnel,Common
066,Rock Tunnel,Uncommon
095,Rock Tunnel,Rare
043,Route 14,Common
048,Route 14,Common
069,Route 14,Common
016,Route 14,Uncommon
132,Route 14,Uncommon
017,Route 14,Uncommon
044,Route 14,Rare
070,Route 14,Rare
049,Route 14,Rare
029,Safari Zone,Common
032,Safari Zone,Common
030,Safari Zone,Uncommon
033,Safari Zone,Uncommon
048,Safari Zone,Uncommon
102,Safari Zone,Uncommon
111,Safari Zone,Uncommon
047,Safari Zone,Uncommon
113,Safari Zone,Rare
123,Safari Zone,Rare
127,Safari Zone,Rare
046,Safari Zone,Rare
114,Safari Zone,Rare
054,Safari Zone,Common
079,Safari Zone,Common
098,Safari Zone,Common
147,Safari Zone,Common
129,Safari Zone,Common
148,Safari Zone,Uncommon
060,Safari Zone,Common
118,Safari Zone,Common
084,Safari Zone,Uncommon
104,Safari Zone,Uncommon
128,Safari Zone,Uncommon
115,Safari Zone,Rare
105,Safari Zone,Rare
049,Safari Zone,Rare
021,Route 18,Common
084,Route 18,Common
019,Route 18,Common
020,Route 18,Uncommon
022,Route 18,Uncommon
072,Route 18,Common
098,Route 18,Common
118,Route 18,Common
129,Route 18,Common
090,Route 18,Common
060,Route 18,Common
108,Route 18,Limited
047,Route 18,Limited
019,Route 22,Common
029,Route 22,Common
032,Route 22,Common
021,Route 22,Uncommon
056,Route 22,Uncommon
060,Route 22,Common
118,Route 22,Common
061,Route 22,Uncommon
129,Route 22,Common
066,Victory Road,Common
095,Victory Road,Common
074,Victory Road,Common
041,Victory Road,Uncommon
042,Victory Road,Rare
067,Victory Road,Rare
075,Victory Road,Rare
105,Victory Road,Rare
146,Victory Road,Limited
049,Victory Road,Uncommon
029,Underground Path 5-6,Limited
067,Underground Path 5-6,Limited
016,Route 1,Common
019,Route 1,Common
022,Route 23,Common
023,Route 23,Common
027,Route 23,Common
132,Route 23,Common
030,Route 23,Common
033,Route 23,Common
021,Route 23,Uncommon
056,Route 23,Uncommon
024,Route 23,Rare
028,Route 23,Rare
