053,Celadon City Department Store
032,Celadon City Department Store
015,Celadon City Department Store
035,Celadon City Department Store
012,Celadon City Department Store
061,Celadon City Department Store
066,Celadon City Department Store
058,Celadon City Department Store
055,Celadon City Department Store
046,Celadon City Department Store
051,Celadon City Department Store
013,Celadon City Department Store
037,Celadon City Department Store
030,Celadon City Department Store
065,Celadon City Department Store
067,Celadon City Department Store
034,Celadon City Department Store
003,Celadon City Department Store
011,Celadon City Department Store
019,Celadon City Department Store
060,Celadon City Department Store
020,Celadon City Department Store
018,Celadon City Department Store
038,Celadon City Department Store
033,Celadon City Department Store
062,Celadon City Department Store
068,Celadon City Department Store
017,Celadon City Department Store
047,Celadon City Department Store
014,Celadon City Department Store
039,Celadon City Department Store
036,Celadon City Department Store
056,Celadon City Department Store
014,Cerulean City Pokemart
030,Cerulean City Pokemart
020,Cerulean City Pokemart
011,Cerulean City Pokemart
015,Cerulean City Pokemart
012,Cerulean City Pokemart
004,Cerulean City Pokemart
002,Cinnabar Island Pokemart
057,Cinnabar Island Pokemart
003,Cinnabar Island Pokemart
052,Cinnabar Island Pokemart
029,Cinnabar Island Pokemart
053,Cinnabar Island Pokemart
018,Cinnabar Island Pokemart
056,Fuchsia City Pokemart
019,Fuchsia City Pokemart
003,Fuchsia City Pokemart
002,Fuchsia City Pokemart
053,Fuchsia City Pokemart
052,Fuchsia City Pokemart
052,Indigo Plateau Pokemart
017,Indigo Plateau Pokemart
002,Indigo Plateau Pokemart
016,Indigo Plateau Pokemart
003,Indigo Plateau Pokemart
057,Indigo Plateau Pokemart
053,Indigo Plateau Pokemart
011,Lavender Town Pokemart
003,Lavender Town Pokemart
056,Lavender Town Pokemart
029,Lavender Town Pokemart
013,Lavender Town Pokemart
053,Lavender Town Pokemart
019,Lavender Town Pokemart
012,Lavender Town Pokemart
015,Lavender Town Pokemart
020,Pewter City Pokemart
029,Pewter City Pokemart
015,Pewter City Pokemart
012,Pewter City Pokemart
014,Pewter City Pokemart
011,Pewter City Pokemart
004,Pewter City Pokemart
018,Saffron City Pokemart
052,Saffron City Pokemart
029,Saffron City Pokemart
003,Saffron City Pokemart
057,Saffron City Pokemart
053,Saffron City Pokemart
013,Vermilion City Pokemart
004,Vermilion City Pokemart
030,Vermilion City Pokemart
015,Vermilion City Pokemart
019,Vermilion City Pokemart
014,Vermilion City Pokemart
004,Viridian City Pokemart
015,Viridian City Pokemart
011,Viridian City Pokemart
012,Viridian City Pokemart
